Matrícula,S1,S2,S3,S4,S5,S6,S7,S8
GRR20150448,68,40,54,46,46,64,48,64
GRR20127181,58,68,48,68,44,60,36,44
GRR20150462,NA,50,66,68,46,82,74,52
GRR20152216,70,74,88,70,68,78,50,64
GRR20130332,NA,66,NA,NA,NA,NA,NA,NA
GRR20155953,64,56,66,30,66,40,48,76
GRR20158258,68,70,52,60,80,48,52,44
GRR20152135,70,66,62,72,60,60,48,48
GRR20152136,64,78,58,46,80,50,62,44
GRR20130617,72,88,42,68,44,48,70,56
GRR20142396,70,60,82,94,40,74,48,56
GRR20159745,70,54,68,52,68,52,44,44
GRR20151123,62,52,58,78,52,46,40,64
GRR20153269,82,66,84,60,50,42,30,16
GRR20159353,68,40,62,54,70,46,58,40
GRR20151416,NA,48,NA,76,NA,56,NA,NA
GRR20140693,78,NA,94,72,54,66,52,NA
GRR20157699,46,68,54,60,32,NA,58,12
GRR20131784,NA,34,62,58,30,38,46,NA
GRR20131974,70,42,60,58,60,54,48,28
GRR20155544,NA,NA,NA,NA,NA,NA,NA,NA
GRR20157763,NA,60,NA,56,70,40,50,72
GRR20159000,56,82,76,NA,64,68,66,36
GRR20153749,58,70,54,64,60,46,62,32
GRR20143304,76,60,68,60,NA,26,70,48
GRR20120643,NA,72,76,54,58,64,NA,48
GRR20132383,56,70,62,72,66,60,72,48
GRR20152534,NA,50,NA,44,NA,52,38,48
GRR20136086,68,NA,56,56,30,54,60,60
GRR20159149,66,70,48,78,72,68,64,52
GRR20137564,96,80,86,86,80,NA,66,68
GRR20153882,66,82,60,56,58,32,56,40
GRR20153909,72,46,74,48,52,46,36,52
GRR20153343,82,56,62,74,52,70,46,44
GRR20118368,58,52,72,60,NA,48,66,52
GRR20148557,86,94,94,70,56,62,74,NA
GRR20150939,72,76,70,52,58,60,38,68
GRR20151576,68,54,64,NA,72,66,52,56
GRR20170432,66,68,58,52,70,64,74,32
GRR20158507,58,66,48,60,38,60,48,44
GRR20153205,70,58,84,66,64,66,62,60
GRR20147933,64,44,64,NA,54,42,48,40
GRR20150853,NA,70,70,46,66,50,56,48
GRR20150854,88,72,44,NA,58,62,56,56
GRR20158835,74,68,70,38,56,44,68,64
GRR20150982,62,80,78,78,NA,40,44,64
GRR20143582,66,74,84,NA,86,44,82,52
GRR20151663,54,76,58,66,52,52,46,48
GRR20133733,NA,56,NA,80,26,NA,NA,NA
GRR20143926,NA,62,42,62,48,50,NA,68
GRR20150549,58,40,66,32,24,58,46,60
GRR20127189,74,70,88,48,76,26,66,64
GRR20150640,64,60,50,38,62,52,26,80
GRR20134354,NA,70,44,46,64,38,52,60
GRR20152287,NA,NA,60,48,38,46,72,36
GRR20161408,NA,NA,NA,NA,NA,NA,NA,NA
GRR20155116,NA,68,72,54,38,56,52,48
